quantidade_de_alunos,nome_do_curso
73,Lógica de programação
21,Java para Web
64,C# para Web
29,Ruby on Rails
8,Cursos de Python
70,PHP com MySql
25,.NET para web
54,Novas integrações com Java
25,TDD com Java
77,Código limpo com C#
17,Preparatório para certificação Java
61,Hardware básico
17,Persistência com .NET
50,Desenvolvendo jogos
80,Análise de dados
35,Estatística básica
73,Internet das coisas
20,Programação funcional
58,Boas práticas em Java
12,Orientação objetos com Java
